,0
0,0.12247403618611195
1,0.47513711619785604
2,0.8608119142012655
3,0.5166116816300602
4,0.022593604733639815
5,0.5628593136668704
6,0.15062193316762892
7,0.42483739169350393
8,0.35861828163500997
9,0.2644911154124351
10,0.49437829632423635
11,0.16688198809112628
12,0.18506302663453905
13,0.8421044145010523
14,0.23200190104692522
15,0.1648999456087989
16,0.45876020821058267
17,0.058973352252583086
18,0.13043824973303714
19,0.38093343657081247
20,0.39532680278053317
21,0.3521801850529884
22,0.16285496401840752
23,0.1948745724796319
24,0.11431773268398417
25,0.3220067910824077
26,0.07502019595926811
27,0.14755376865393846
28,0.1466764773021018
29,0.2136326349923781
30,0.07421116418434923
31,0.21674386512123547
32,0.2569617340330743
33,0.7247562094097051
34,0.43892550905936545
35,0.35259189906411426
36,0.09932898872140321
37,0.08885173693269749
38,0.16481412451169852
39,0.05576523873917589
40,0.17017180957868897
41,0.2128157922877101
42,0.11401059078615067
43,0.18817827423130556
44,0.15649112487435582
45,0.05962811754603692
46,0.26828871249111047
47,0.14792820193262146
48,0.6745543182572573
49,0.14626196629055518
50,0.1892327489300818
51,0.17637601775514566
52,0.27010168974869875
53,0.49791865027567156
54,0.30414955655487985
55,0.12330047084322023
56,0.21324539384264454
57,0.27408282643734144
58,0.08849728995049426
59,0.1479885139756592
60,0.14877767390386437
61,0.1909692735107195
62,0.8051271550013306
63,0.24404033688234683
64,0.26044347488497566
65,0.11424940833456655
66,0.2529864010135813
67,0.4388271732552975
68,0.1725835568488542
69,0.2234373966472593
70,0.23835090605627032
71,0.2056712348855309
72,0.46042674812207474
73,0.09267921861437124
74,0.2536113974988557
75,0.09245036398777555
76,0.3827534685583228
77,0.1625682398382847
78,0.2825174539861552
79,0.28420181653066695
80,0.29709775812844275
81,0.10544323294513046
82,0.31040303827983134
83,0.42599814211485
84,0.296495043963109
85,0.09530398447030196
86,0.29097136906453824
87,0.32920991677843336
88,0.18412381376381987
89,0.2659051319594182
90,0.08562495767687008
91,0.2314418078943211
92,0.2126383144704671
93,0.36550173380627704
94,0.25397876472268616
95,0.26264590714563096
96,0.6580690039221528
97,0.20233556026602253
98,0.22045545363293334
99,0.11186017578169061
