Wall time,Step,Value
1746813282.513607,500,-75.55827331542969
1746813283.450847,2000,-61.12405776977539
1746813283.75406,2500,-73.78705596923828
1746813285.5755289,5500,-95.62266540527344
1746813285.868392,6000,-90.52409362792969
1746813286.752173,7500,-80.54875946044922
1746813287.057222,8000,-80.54875946044922
1746813288.013015,9500,-88.55879211425781
1746813288.317975,10000,-97.59605407714844
1746813288.7310688,10500,-97.9182357788086
1746813289.355432,11500,-103.63919067382812
1746813289.667697,12000,-98.27598571777344
1746813290.625878,13500,-91.51066589355469
1746813290.96612,14000,-80.10743713378906
1746813292.860229,17000,-96.27291107177734
1746813293.811551,18500,-101.73741912841797
1746813294.1450438,19000,-106.78720092773438
1746813294.476715,19500,-106.78720092773438
1746813294.784194,20000,-111.40641021728516
1746813295.1000059,20500,-111.40641021728516
1746813297.350025,24000,-121.44213104248047
1746813297.665946,24500,-123.01790618896484
1746813297.9757812,25000,-123.01790618896484
1746813298.59995,26000,-125.40509796142578
1746813298.920432,26500,-124.40094757080078
1746813299.536892,27500,-123.75360107421875
1746813300.486797,29000,-114.00906372070312
1746813301.4364002,30500,-113.79615783691406
1746813301.754008,31000,-115.46817779541016
1746813302.074396,31500,-115.46817779541016
1746813302.404608,32000,-106.99217224121094
1746813303.075569,33000,-95.76081848144531
1746813303.4566798,33500,-95.0923843383789
1746813303.827664,34000,-94.40283966064453
1746813304.157229,34500,-94.24832916259766
1746813304.8522902,35500,-93.99340057373047
1746813305.23233,36000,-93.99340057373047
1746813307.50524,39000,-90.26493835449219
1746813308.163738,40000,-88.38459014892578
1746813308.483677,40500,-88.38459014892578
1746813309.092633,41500,-85.87867736816406
1746813309.396626,42000,-85.87867736816406
1746813310.016543,43000,-83.89724731445312
1746813310.350167,43500,-82.22560119628906
1746813311.251607,45000,-70.34307861328125
1746813311.549141,45500,-70.34307861328125
1746813313.0951848,48000,-59.92143249511719
1746813314.2769752,50000,-54.57054901123047
1746813314.582887,50500,-40.250484466552734
1746813315.5291488,52000,-36.82811737060547
1746813316.48834,53500,-28.76287078857422
1746813316.7958558,54000,-28.76287078857422
1746813317.4513438,55000,-21.15093994140625
1746813319.242889,57500,-1.5297962427139282
1746813319.905119,58500,1.870500087738037
1746813321.678438,61000,18.97683334350586
1746813322.95387,63000,34.5521125793457
1746813323.2843251,63500,45.29039001464844
1746813323.934046,64500,50.910911560058594
1746813324.563967,65500,60.98147201538086
1746813324.8835258,66000,60.98147201538086
1746813325.204582,66500,67.40803527832031
1746813326.465874,68500,89.3880844116211
1746813326.780234,69000,89.3880844116211
1746813328.63811,72000,109.36845397949219
1746813328.964076,72500,116.3963623046875
1746813329.607975,73500,119.81798553466797
1746813329.9083169,74000,127.67269897460938
1746813330.860055,75500,133.6144561767578
1746813333.126414,79000,159.62132263183594
1746813333.747367,80000,166.4202880859375
1746813334.075285,80500,166.4202880859375
1746813334.743326,81500,173.00782775878906
1746813335.367868,82500,179.51072692871094
1746813335.9912288,83500,187.12054443359375
1746813337.3600268,85500,202.9613037109375
1746813337.669429,86000,209.609375
1746813337.974088,86500,209.609375
1746813338.984295,88000,224.58372497558594
1746813339.3097432,88500,224.58372497558594
1746813339.626382,89000,234.41241455078125
1746813339.9536781,89500,234.41241455078125
1746813340.619605,90500,241.98419189453125
1746813340.9436522,91000,249.6009521484375
1746813341.880805,92500,257.7750244140625
1746813342.193439,93000,266.1313781738281
1746813342.5894248,93500,266.1313781738281
