Wall time,Step,Value
1746835244.722024,75144,-365.9205322265625
1746835248.903457,75675,-348.3016052246094
1746835260.6114728,77116,-305.62664794921875
1746835266.697946,77895,-318.67449951171875
1746835275.2485702,78986,-316.6259460449219
1746835285.200385,80204,-339.3432312011719
1746835286.525161,80353,-316.735595703125
1746835289.106111,80634,-296.08642578125
1746835291.397155,80886,-273.7223815917969
1746835304.605404,82475,-301.50006103515625
1746835331.609667,85950,-371.46453857421875
1746835342.4861498,87320,-394.0343933105469
1746835345.561407,87692,-394.5072937011719
1746835355.5337641,88903,-395.6878356933594
1746835359.832482,89439,-372.3152160644531
1746835360.878773,89574,-343.30322265625
1746835374.895861,91253,-370.6131591796875
1746835391.4066298,93372,-418.090087890625
1746835401.8957708,94697,-446.9381103515625
1746835405.2275321,95097,-441.4671630859375
1746835409.507206,95605,-422.91796875
1746835412.4284658,95939,-424.9241638183594
1746835423.078347,97270,-435.7381896972656
1746835439.7071948,99329,-460.9256286621094
1746835450.52197,100629,-465.3619079589844
1746835467.9950469,102815,-517.19873046875
1746835482.560833,104595,-547.0321044921875
1746835513.341933,108564,-610.7319946289062
1746835517.709863,109114,-572.5537109375
1746835523.055277,109745,-557.3632202148438
1746835532.316293,110834,-579.9083251953125
1746835550.105568,113141,-610.380615234375
1746835552.215358,113413,-609.5083618164062
1746835561.3373592,114539,-609.3614501953125
1746835566.335823,115142,-611.5316162109375
1746835567.998283,115334,-611.8931884765625
1746835577.276614,116487,-635.0758056640625
1746835585.846514,117544,-635.0479125976562
1746835588.272491,117858,-636.7674560546875
1746835600.1263921,119313,-585.2615966796875
1746835604.223843,119797,-590.475830078125
1746835616.031873,121202,-574.968505859375
1746835625.059569,122321,-549.7694091796875
1746835650.7357178,125473,-539.1236572265625
1746835699.558908,127986,-572.0657958984375
1746835702.072714,128290,-567.30908203125
1746835712.799248,129444,-544.6068725585938
1746835714.9057121,129703,-502.8900146484375
1746835717.327688,129987,-495.9052429199219
1746835729.260777,131477,-489.7928771972656
1746835738.045259,132604,-460.8602294921875
1746835979.533358,133050,-464.454833984375
1746835981.3288152,133273,-440.74993896484375
1746835991.068097,134482,-464.94134521484375
1746836000.15732,135612,-487.6171569824219
1746836010.816896,136942,-517.8405151367188
1746836986.021605,138981,-506.02264404296875
1746837003.8587651,141159,-533.2582397460938
