,0
0,2.1902430726913433
1,2.376555606859329
2,3.0116545933452534
3,1.6620565462883294
4,2.301340851816215
5,3.4283087554080156
6,1.8840411986976617
7,1.818374100319559
8,1.284518049161497
9,2.2963491163634004
10,2.3094095955155267
11,1.4538646524333492
12,1.2404922269694565
13,1.9595396872602338
14,1.4562387390367282
15,2.2315088344238316
16,2.4421176384593646
17,1.432325491566237
18,2.4270744651068488
19,1.654185029488702
20,3.2410220292604404
21,2.218194627179662
22,1.4882590006180152
23,3.069177927172218
24,1.6223481408673583
25,2.8098017731684104
26,3.195247441063695
27,1.9249994876844538
28,1.025626288013136
29,2.0872440159805103
30,1.4577219464904914
31,2.179615644179026
32,1.6966117281466495
33,2.160055926657634
34,2.491918855346148
35,1.9729139910484912
36,2.5545440089085463
37,2.6109323962139923
38,1.333809081973563
39,2.87083364575712
40,2.502639280847546
41,2.0028872065471064
42,1.2420665604508745
43,1.860229890097653
44,1.7525622215296737
45,2.365948567315857
46,1.6944310711637427
47,2.4783414706547795
48,2.9558169827651217
49,2.1982639087651403
50,2.164673554924484
51,1.7144734758127966
52,4.535542917810025
53,2.7330525254659777
54,2.360646645536096
55,1.848004801120609
56,1.3366222496064153
57,1.6719089542128602
58,2.6594996443809
59,3.2202259353804075
60,2.682676077330786
61,2.1676613917502427
62,4.045250633739007
63,1.1695264433088062
64,2.23377078510866
65,2.5052733826404348
66,1.9750716464487166
67,2.1471269055998423
68,3.2154931313864257
69,1.8652225807259974
70,2.5815677824327183
71,2.6071589123679604
72,1.965547624845332
73,3.3539655083283972
74,2.7578518631160183
75,3.4623910561988027
76,2.9290373810651267
77,2.418515978048466
78,1.9091272184453407
79,3.001404254919826
80,2.311728467228315
81,2.65489729788911
82,2.6823879028704134
83,2.2497999054296525
84,1.2184160649328375
85,2.9115426171126173
86,1.6959893143698748
87,2.0679732347348536
88,2.244813950472951
89,2.6482851800641916
90,1.0864955784679913
91,2.338478921508544
92,3.501705941054308
93,3.4827120865922865
94,2.138007409524147
95,2.129522739281172
96,2.8371647643286484
97,1.6780252487706542
98,1.7721000185637266
99,2.4481546243619023
