,0
0,181.39130417168855
1,30.4538764568301
2,184.5793947732577
3,173.61108266842254
4,182.22453135329235
5,34.022106958347926
6,175.82465553722298
7,186.0391451743738
8,180.7764625547014
9,5.053393423148593
10,51.42028718372368
11,186.01346947855794
12,181.10342219889674
13,180.1113232816005
14,96.4280491896429
15,185.1204496284385
16,16.805663276163152
17,173.85636808956974
18,71.06230102242571
19,178.46102735135233
20,178.91309611317394
21,97.3070616744569
22,186.70076710086568
23,183.85904887764468
24,179.1143942044296
25,184.4147702200244
26,188.0326422255669
27,119.00580178412353
28,165.01904285358475
29,176.20650246023558
30,181.2069840485538
31,179.9064922308481
32,181.2589584291889
33,78.99205950333277
34,181.8986322723883
35,178.11441484078517
36,181.65862561548744
37,66.17963000755677
38,17.637703867169
39,181.90170359423925
40,85.62439000760398
41,184.19952088873535
42,181.9343052904505
43,146.80274868693343
44,182.0090762846442
45,151.96234772677516
46,76.86382606176186
47,74.16880010231736
48,183.50333594723168
49,171.87074710212738
50,132.29981185139582
51,181.35478687059873
52,174.2635282606514
53,37.79330383544304
54,180.2645214688509
55,181.41683150890458
56,186.7552986709477
57,175.54210947766083
58,174.07207228474596
59,177.9220372784143
60,102.19075849767526
61,187.02886040763178
62,176.3290986839767
63,177.66445917490717
64,3.31544457752267
65,114.02576931229387
66,180.69138680103305
67,87.61363213774959
68,50.15197503673912
69,181.52585275896033
70,53.24349535593264
71,180.9758915445403
72,178.31576454654234
73,180.7348696150281
74,182.3638097704729
75,106.53279074939917
76,19.03306043089682
77,106.56206068577228
78,184.06525299181646
79,49.86516473036314
80,181.4075241752191
81,184.86543021764305
82,183.71895621786803
83,52.68987830546383
84,178.05155390206565
85,181.19789145027562
86,70.74995562055932
87,180.1098604593182
88,182.3553514907922
89,56.34428011737775
90,183.80788602620706
91,188.96118820605193
92,183.92800933040428
93,181.13454969760312
94,178.53968619490428
95,184.20585134022016
96,176.87417381990747
97,180.25971754516905
98,183.46581652160242
99,6.78372684200144
